IDX|20200114|030041|00000001|0|1|Begin sending records         |Ïä
IDX|20200114|030041|00000026|3|ALKA                 |Alakasa Industrindo Tbk                                     |0|ORDI        |33  |00000009800.00|00000000594.00|00000507665055|00000507665055|00100|--U3---2|--U-213-------33--------------          |00000507665055|
IDX|20200114|030041|00000027|3|ALMI                 |Alumindo Light Metal Industry Tbk.                          |0|ORDI        |33  |00000001300.00|00000000650.00|00000616000000|00000616000000|00100|--U3---2|--U-21--------33--------------          |00000616000000|!w
IDX|20200114|030041|00000028|3|ALTO                 |Tri Banyan Tirta Tbk.                                       |0|ORDI        |51  |00000000210.00|00000000200.16|00002191494355|00002191494355|00100|--U5---1|--U-11--------51-----L--------          |00002191494355|£
IDX|20200114|030041|00000029|3|AMAG                 |Asuransi Multi Artha Guna Tbk.                              |0|ORDI        |84  |00000000105.00|00000000105.00|00005001552516|00005001552516|00100|--U8---2|--U-21-5------84--------------          |00005001552516|ãÁ
IDX|20200114|030041|00000030|3|AMFG                 |Asahimas Flat Glass Tbk.                                    |0|ORDI        |32  |00000002450.00|00000002450.00|00000434000000|00000434000000|00100|XDU3---1|CDU-1135------32--------------          |00000434000000|‹
IDX|20200114|030041|00000031|3|AMIN                 |Ateliers Mecaniques D Indonesie Tbk.                        |0|ORDI        |41  |00000000128.00|00000000128.00|00001080000000|00000240000000|00100|XDU4---2|CDU-213-------41--------------          |00001080000000|˙
IDX|20200114|030041|00000032|3|AMRT                 |Sumber Alfaria Trijaya Tbk.                                 |0|ORDI        |93  |00000000395.00|00000000039.19|00041524501700|00038614252900|00100|--S9---1|--S-11-E------93--------------          |00041524501700|…
IDX|20200114|030041|00000033|3|ANJT                 |Austindo Nusantara Jaya Tbk.                                |0|ORDI        |12  |00000001200.00|00000001200.00|00003354175000|00003354175000|00100|XDU1---1|--U-1135------12--------------          |00003354175000|j
IDX|20200114|030041|00000034|3|ANTM                 |Aneka Tambang (Persero) Tbk.                                |0|ORDI_PREOPEN|23  |00000001400.00|00000000151.67|00024030764725|00024030764725|00100|--S2XXO1|--SO1XDQV-----23--------------          |00024030764725|HM
IDX|20200114|030041|00000035|3|APEX                 |Apexindo Pratama Duta Tbk.                                  |0|ORDI        |22  |00000001562.00|00000001562.00|00002659850000|00002659850000|00100|--U2---2|--U-21-5------22---E-L--------          |00002659850000|
IDX|20200114|030041|00000036|3|APIC                 |Pacific Strategic Financial Tbk.                            |0|ORDI        |89  |00000000210.00|00000000094.02|00011763038265|00011763038265|00100|--S8---2|--U-21-5------89--------------          |00011763034199|xÂ
IDX|20200114|030041|00000037|3|APII                 |Arita Prima Indonesia Tbk.                                  |0|ORDI        |91  |00000000220.00|00000000220.00|00001075760000|00001075760000|00100|XDU9---2|--U-213-------91--------------          |00001075760000|jJ
IDX|20200114|030041|00000038|3|APLI                 |Asiaplast Industries Tbk.                                   |0|ORDI        |35  |00000000600.00|00000000120.00|00001500000000|00001500000000|00100|--U3---1|--U-113-------35--------------          |00001500000000|]%
IDX|20200114|030041|00000039|3|APLN                 |Agung Podomoro Land Tbk.                                    |0|ORDI        |61  |00000000365.00|00000000365.00|00020500900000|00020500900000|00100|XDM6---1|--M-1835------61--------------          |00020500900000|‰ê
IDX|20200114|030041|00000040|3|APOL                 |Arpeni Pratama Ocean Line Tbk.                              |0|ORDI        |74  |00000000625.00|00000000312.50|00008670479000|00008670479000|00100|--U7---1|--U-11--------74---E----------          |00008670479000|œ)
IDX|20200114|030041|00000041|3|ARGO                 |Argo Pantes Tbk                                             |0|ORDI        |43  |00000009950.00|00000003980.00|00000335557450|00000335557450|00100|--U4---2|--U-21--------43---E----------          |00000335557450|Ê≠
IDX|20200114|030041|00000042|3|ARII                 |Atlas Resources Tbk.                                        |0|ORDI        |21  |00000001500.00|00000001500.00|00003000000000|00003000000000|00100|--U2---2|--U-2135------21--------------          |00003000000000|Õ
IDX|20200114|030041|00000043|3|ARMY                 |Armidian Karyatama Tbk.                                     |0|ORDI        |61  |00000000300.00|00000000300.00|00008187500000|00001683000000|00100|--U6---2|--U-2135------61--------------          |00008187500000|<∂
IDX|20200114|030041|00000044|3|ARNA                 |Arwana Citramulia Tbk.                                      |0|ORDI        |32  |00000000120.00|00000000014.71|00007341430976|00007341430976|00100|XDS3---1|--S-1175------32--------------          |00007341430976|Ù
IDX|20200114|030041|00000045|3|ARTA                 |Arthavest Tbk                                               |0|ORDI        |94  |00000000225.00|00000000172.39|00000446674175|00000446674175|00100|--U9---2|--U-213-------94--------------          |00000446674175|8ó
IDX|20200114|030041|00000046|3|ARTI                 |Ratu Prabu Energi Tbk                                       |0|ORDI        |22  |00000000650.00|00000000408.12|00007840000000|00007840000000|00100|--U2---1|--U-113-------22--------------          |00007840000000|*i
IDX|20200114|030041|00000047|3|ARTO                 |Bank Artos Indonesia Tbk.                                   |0|ORDI        |81  |00000000132.00|00000000132.00|00001194187500|00001194187500|00100|--U8---2|--U-21--------81--------------          |00001194187500| 
IDX|20200114|030041|00000048|3|ASBI                 |Asuransi Bintang Tbk.                                       |0|ORDI        |84  |00000007950.00|00000000131.73|00000348386472|00000348386472|00100|XDU8---2|--U-21--------84--------------          |00000348386472|≥
IDX|20200114|030041|00000049|3|ASDM                 |Asuransi Dayin Mitra Tbk.                                   |0|ORDI        |84  |00000006500.00|00000000338.55|00000192000000|00000192000000|00100|XDU8---1|--U-11--------84--------------          |00000192000000|N
IDX|20200114|030041|00000050|3|ASGR                 |Astra Graphia Tbk.                                          |0|ORDI        |97  |00000008550.00|00000000482.32|00001348780500|00001348780500|00100|--U9---1|--U-1135------97--------------          |00001348780500|9>
IDX|20200114|030041|00000051|3|ASII                 |Astra International Tbk.                                    |0|ORDI_PREOPEN|42  |00000014850.00|00000000139.84|00040483553140|00040483553140|00100|--S4BXO1|--SO1XNAQ-----42--------------          |00040483553140|£„
IDX|20200114|030041|00000052|3|ASJT                 |Asuransi Jasa Tania Tbk.                                    |0|ORDI        |84  |00000000300.00|00000000150.00|00000600000000|00000600000000|00100|XDU8---2|CDU-21--------84--------------          |00000600000000|˜:
IDX|20200114|030041|00000053|3|ASMI                 |Asuransi Kresna Mitra Tbk.                                  |0|ORDI        |84  |00000000270.00|00000000054.00|00008958380460|00008958380460|00100|--U8---2|--U-1115------84--------------          |00008958380460|p&
IDX|20200114|030041|00000054|3|ASRI                 |Alam Sutera Realty Tbk.                                     |0|ORDI_PREOPEN|61  |00000000105.00|00000000105.00|00019649411888|00019649411888|00100|XDS6LKO1|--S-18A5F-----61--------------          |00019649411888|xˆ
IDX|20200114|030041|00000055|3|ASRM                 |Asuransi Ramayana Tbk.                                      |0|ORDI        |84  |00000006000.00|00000000279.37|00000214559422|00000214559422|00100|XDU8---2|--U-21--------84--------------          |00000214559422| \
